2016/10/08 20:38:02 endpoint: 0x2008, chain: 00, channel: 10 threshold: 0x83ff, uid: 4f0000050d27ca28
2016/10/08 20:38:02 endpoint: 0x2009, chain: 01, channel: 10 threshold: 0x84db, uid: b60000050d610428
2016/10/08 20:38:02 endpoint: 0x2005, chain: 01, channel: 10 threshold: 0x842b, uid: 8a0000050d4b2e28
2016/10/08 20:38:16 endpoint: 0x200a, chain: 02, channel: 11 threshold: 0x810a, uid: 330000050dfa4528
2016/10/08 20:38:16 endpoint: 0x2004, chain: 00, channel: 11 threshold: 0x8669, uid: 580000050d344028
2016/10/08 20:38:16 endpoint: 0x2000, chain: 00, channel: 11 threshold: 0x8541, uid: c00000050df9bf28
2016/10/08 20:38:16 endpoint: 0x2001, chain: 01, channel: 11 threshold: 0x82af, uid: d6000004e38f2728
2016/10/08 20:38:16 endpoint: 0x2002, chain: 02, channel: 11 threshold: 0x85a5, uid: 550000050d4aa528
2016/10/08 20:38:16 endpoint: 0x2006, chain: 02, channel: 11 threshold: 0x836a, uid: 620000050d8a9e28
2016/10/08 20:38:16 endpoint: 0x2008, chain: 00, channel: 11 threshold: 0x8301, uid: 4f0000050d27ca28
2016/10/08 20:38:16 endpoint: 0x2009, chain: 01, channel: 11 threshold: 0x84bb, uid: b60000050d610428
2016/10/08 20:38:16 endpoint: 0x2005, chain: 01, channel: 11 threshold: 0x83e1, uid: 8a0000050d4b2e28
2016/10/08 20:38:32 endpoint: 0x200a, chain: 02, channel: 12 threshold: 0x818e, uid: 330000050dfa4528
2016/10/08 20:38:32 endpoint: 0x2004, chain: 00, channel: 12 threshold: 0x8618, uid: 580000050d344028
2016/10/08 20:38:32 endpoint: 0x2005, chain: 01, channel: 12 threshold: 0x839b, uid: 8a0000050d4b2e28
2016/10/08 20:38:33 endpoint: 0x2000, chain: 00, channel: 12 threshold: 0x8406, uid: c00000050df9bf28
2016/10/08 20:38:33 endpoint: 0x2001, chain: 01, channel: 12 threshold: 0x8415, uid: d6000004e38f2728
2016/10/08 20:38:33 endpoint: 0x2006, chain: 02, channel: 12 threshold: 0x83fb, uid: 620000050d8a9e28
2016/10/08 20:38:33 endpoint: 0x2002, chain: 02, channel: 12 threshold: 0x84e5, uid: 550000050d4aa528
2016/10/08 20:38:33 endpoint: 0x2008, chain: 00, channel: 12 threshold: 0x830d, uid: 4f0000050d27ca28
2016/10/08 20:38:33 endpoint: 0x2009, chain: 01, channel: 12 threshold: 0x8441, uid: b60000050d610428
2016/10/08 20:38:48 endpoint: 0x200a, chain: 02, channel: 13 threshold: 0x8061, uid: 330000050dfa4528
2016/10/08 20:38:48 endpoint: 0x2004, chain: 00, channel: 13 threshold: 0x853a, uid: 580000050d344028
2016/10/08 20:38:48 endpoint: 0x2005, chain: 01, channel: 13 threshold: 0x82bd, uid: 8a0000050d4b2e28
2016/10/08 20:38:48 endpoint: 0x2000, chain: 00, channel: 13 threshold: 0x844b, uid: c00000050df9bf28
2016/10/08 20:38:48 endpoint: 0x2001, chain: 01, channel: 13 threshold: 0x8381, uid: d6000004e38f2728
2016/10/08 20:38:48 endpoint: 0x2006, chain: 02, channel: 13 threshold: 0x83b7, uid: 620000050d8a9e28
2016/10/08 20:38:48 endpoint: 0x2002, chain: 02, channel: 13 threshold: 0x844f, uid: 550000050d4aa528
2016/10/08 20:38:48 endpoint: 0x2008, chain: 00, channel: 13 threshold: 0x82b7, uid: 4f0000050d27ca28
2016/10/08 20:38:48 endpoint: 0x2009, chain: 01, channel: 13 threshold: 0x84b7, uid: b60000050d610428
2016/10/08 20:39:02 endpoint: 0x200a, chain: 02, channel: 14 threshold: 0x8173, uid: 330000050dfa4528
2016/10/08 20:39:02 endpoint: 0x2004, chain: 00, channel: 14 threshold: 0x865e, uid: 580000050d344028
2016/10/08 20:39:02 endpoint: 0x2005, chain: 01, channel: 14 threshold: 0x830b, uid: 8a0000050d4b2e28
2016/10/08 20:39:02 endpoint: 0x2000, chain: 00, channel: 14 threshold: 0x8438, uid: c00000050df9bf28
